Time; Amplitude
0.0;0.0
9.999999999999999e-05;1.8280741060127203e-08
0.0011;2.240044824787605e-06
0.0021000000000000003;8.265485955140785e-06
0.0031000000000000003;1.8230375402356106e-05
0.0041;3.226778958512526e-05
0.0051;5.050806897838873e-05
0.0061;7.307877827027542e-05
0.0071;0.0001001046677739778
0.0081;0.00013170763609988856
0.0091;0.00016800669409286356
0.010100000000000001;0.00020911793003901437
0.011100000000000002;0.00025515447614597714
0.012100000000000003;0.00030622647630014623
0.013100000000000004;0.00036244105510390703
0.014100000000000005;0.00042390228819545034
0.015100000000000006;0.0004907111738532998
0.016100000000000007;0.0005629656058872364
0.017100000000000008;0.0006407603478168591
0.01810000000000001;0.0007241870083385768
0.01910000000000001;0.0008133340180813897
0.02010000000000001;0.0009082866076513775
0.02110000000000001;0.001009126786964382
0.022100000000000012;0.001115933325865938
0.023100000000000013;0.0012287817360370793
0.024100000000000014;0.0013477442541842276
0.025100000000000015;0.0014728898265109417
0.026100000000000016;0.0016042840944688979
0.027100000000000016;0.0017419893817850534
0.028100000000000017;0.0018860646827615383
0.029100000000000018;0.002036565651844413
0.03010000000000002;0.002193544594457031
0.03110000000000002;0.0023570504590933483
0.03210000000000002;0.002527128830666127
0.03310000000000002;0.002703821925104594
0.03410000000000002;0.0028871685851957277
0.03510000000000002;0.0030772042776629786
0.03610000000000002;0.003273961091475837
0.03710000000000002;0.003477467737383305
0.03810000000000002;0.0036877495486639634
0.039100000000000024;0.003904828483084955
0.040100000000000025;0.004128723126061865
0.041100000000000025;0.004359448695011117
0.042100000000000026;0.004597017044886164
0.04310000000000003;0.004841436674888413
0.04410000000000003;0.005092712736343491
0.04510000000000003;0.00535084704173313
0.04610000000000003;0.005615838074872618
0.04710000000000003;0.0058876810022234615
0.04810000000000003;0.00616636768533057
0.04910000000000003;0.006451886694372994
0.05010000000000003;0.00674422332281693
0.051100000000000034;0.007043359603159404
0.052100000000000035;0.007349274323750785
0.053100000000000036;0.0076619430466839614
0.05410000000000004;0.007981338126737767
0.05510000000000004;0.00830742873136195
0.05610000000000004;0.008640180861690733
0.05710000000000004;0.008979557374571723
0.05810000000000004;0.009325518005596726
0.05910000000000004;0.009678019393120716
0.06010000000000004;0.010037015103255026
0.06110000000000004;0.010402455655820535
0.062100000000000044;0.010774288551246458
0.06310000000000004;0.011152458298400083
0.06410000000000005;0.011536906443332585
0.06510000000000005;0.01192757159892587
0.06610000000000005;0.012324389475425166
0.06710000000000005;0.012727292911841898
0.06810000000000005;0.0131362119082112
0.06910000000000005;0.01355107365868821
0.07010000000000005;0.013971802585467149
0.07110000000000005;0.014398320373506992
0.07210000000000005;0.01483054600604739
0.07310000000000005;0.015268395800898333
0.07410000000000005;0.015711783447486898
0.07510000000000006;0.016160620044644292
0.07610000000000006;0.01661481413911624
0.07710000000000006;0.01707427176477968
0.07810000000000006;0.017538896482548517
0.07910000000000006;0.018008589420951217
0.08010000000000006;0.01848324931736272
0.08110000000000006;0.01896277255987322
0.08210000000000006;0.01944705322977617
0.08310000000000006;0.01993598314465777
0.08410000000000006;0.020429451902070194
0.08510000000000006;0.020927346923770605
0.08610000000000007;0.02142955350050808
0.08710000000000007;0.021935954837340368
0.08810000000000007;0.02244643209946244
0.08910000000000007;0.0229608644585287
0.09010000000000007;0.023479129139450633
0.09110000000000007;0.024001101467651765
0.09210000000000007;0.024526654916761564
0.09310000000000007;0.025055661156730108
0.09410000000000007;0.025587990102345148
0.09510000000000007;0.02612350996213329
0.09610000000000007;0.026662087287626934
0.09710000000000008;0.027203587022978655
0.09810000000000008;0.027747872554904712
0.09910000000000008;0.028294805762939326
0.10010000000000008;0.028844247069981455
0.10110000000000008;0.02939605549311576
0.10210000000000008;0.02995008869468953
0.10310000000000008;0.030506203033627277
0.10410000000000008;0.03106425361696489
0.10510000000000008;0.03162409435158513
0.10610000000000008;0.03218557799613644
0.10710000000000008;0.032748556213116925
0.10810000000000008;0.03331287962110567
0.10910000000000009;0.033878397847123286
0.11010000000000009;0.034444959579104026
0.11110000000000009;0.03501241261846158
0.11210000000000009;0.03558060393273091
0.11310000000000009;0.036149379708268495
0.11410000000000009;0.03671858540299353
0.11510000000000009;0.03728806579915261
0.11610000000000009;0.0378576650560906
0.11710000000000009;0.03842722676301058
0.1181000000000001;0.03899659399170557
0.1191000000000001;0.03956560934924532
0.1201000000000001;0.04013411503060113
0.1211000000000001;0.04070195287119202
0.1221000000000001;0.0412689643993357
0.1231000000000001;0.04183499088858786
0.1241000000000001;0.0423998734099534
0.1251000000000001;0.04296345288395358
0.1261000000000001;0.04352557013253287
0.1271000000000001;0.044086065930789786
0.1281000000000001;0.04464478105851593
0.1291000000000001;0.045201556351527686
0.1301000000000001;0.045756232752775204
0.1311000000000001;0.04630865136321342
0.1321000000000001;0.04685865349242006
0.1331000000000001;0.0474060807089459
0.1341000000000001;0.04795077489038229
0.1351000000000001;0.0484925782731318
0.1361000000000001;0.0490313335018674
0.1371000000000001;0.049566883678666115
0.1381000000000001;0.05009907241180334
0.1391000000000001;0.050627743864193914
0.1401000000000001;0.05115274280146648
0.14110000000000011;0.05167391463965783
0.14210000000000012;0.052191105492514094
0.14310000000000012;0.05270416221838581
0.14410000000000012;0.05321293246670421
0.14510000000000012;0.05371726472402623
0.14610000000000012;0.054217008359635964
0.14710000000000012;0.05471201367069051
0.14810000000000012;0.055202131926898323
0.14910000000000012;0.05568721541471861
0.15010000000000012;0.05616711748107019
0.15110000000000012;0.056641692576538824
0.15210000000000012;0.057110796298072024
