Datenexport - Übung 6 - Aufgabe 4
Anregungsfrequenz:	10	rad/s

	Zeit		x1(t)		x1p(t)		x2(t)		x2p(t)		x3(t)		x3p(t)
       2.1	   0.00968	    -0.143	    0.0159	    -0.206	    0.0104	    -0.219
      2.14	    0.0035	    -0.185	   0.00707	    -0.262	    0.0023	    -0.203
      2.18	  -0.00333	     -0.17	  -0.00294	    -0.267	  -0.00437	    -0.157
      2.22	  -0.00848	    -0.103	    -0.012	    -0.207	  -0.00956	    -0.122
      2.25	   -0.0109	   -0.0467	   -0.0171	   -0.0933	   -0.0129	   -0.0716
      2.28	   -0.0117	  -0.00166	   -0.0182	    0.0221	   -0.0141	    0.0029
      2.31	    -0.011	    0.0494	   -0.0165	     0.078	    -0.013	    0.0682
      2.34	   -0.0088	    0.0971	   -0.0139	    0.0916	   -0.0101	     0.117
      2.38	  -0.00521	      0.11	   -0.0107	     0.104	  -0.00565	     0.148
      2.41	  -0.00194	    0.0838	  -0.00689	     0.128	 -0.000752	     0.137
      2.44	  0.000347	    0.0619	  -0.00259	     0.134	   0.00277	    0.0759
      2.47	   0.00214	    0.0493	   0.00137	     0.108	   0.00397	   0.00223
       2.5	   0.00319	    0.0272	   0.00382	    0.0746	   0.00354	   -0.0275
      2.53	   0.00349	  -0.00514	   0.00537	    0.0417	   0.00283	    -0.021
      2.55	   0.00308	   -0.0247	   0.00605	    0.0131	   0.00253	  -0.00396
      2.57	   0.00256	   -0.0228	   0.00611	   -0.0063	   0.00253	   0.00217
      2.59	   0.00223	  -0.00801	   0.00586	   -0.0151	   0.00255	  -0.00146
      2.61	   0.00225	   0.00892	    0.0056	  -0.00626	   0.00245	  -0.00784
      2.64	   0.00254	    0.0176	   0.00571	    0.0195	   0.00227	  -0.00742
      2.66	   0.00296	    0.0182	   0.00656	    0.0543	   0.00222	   0.00456
      2.68	   0.00345	    0.0207	   0.00836	    0.0748	   0.00263	    0.0265
      2.71	   0.00414	    0.0342	    0.0101	    0.0561	   0.00357	     0.045
      2.74	   0.00547	    0.0466	    0.0111	   0.00115	   0.00521	     0.058
      2.77	   0.00659	    0.0283	    0.0105	   -0.0412	   0.00688	     0.059
       2.8	   0.00682	   -0.0138	   0.00896	   -0.0648	   0.00828	    0.0361
      2.83	    0.0058	   -0.0538	   0.00678	   -0.0866	   0.00851	   -0.0261
      2.86	    0.0039	   -0.0762	   0.00385	     -0.12	    0.0066	    -0.108
      2.89	  0.000833	    -0.103	  -0.00109	    -0.163	   0.00156	    -0.171
      2.92	  -0.00334	    -0.138	  -0.00715	    -0.185	  -0.00434	    -0.162
      2.96	  -0.00861	    -0.133	   -0.0141	    -0.182	  -0.00958	    -0.121
       3.0	   -0.0123	   -0.0743	   -0.0198	    -0.131	   -0.0133	   -0.0907
      3.03	   -0.0137	   -0.0162	   -0.0224	   -0.0266	   -0.0155	   -0.0496
      3.06	   -0.0135	    0.0322	   -0.0211	     0.105	    -0.016	    0.0207
      3.09	   -0.0113	    0.0977	   -0.0157	     0.208	   -0.0139	     0.108
      3.13	  -0.00688	      0.17	  -0.00806	     0.242	  -0.00897	     0.185
      3.16	  0.000264	     0.201	   0.00113	     0.251	 -0.000813	     0.247
